% Graph saved at Wed Nov 13 2019 19:56:11 GMT+0100 (heure normale d’Europe centrale)
n 100 200
n 224.06645907631403 320.87377900058783
n 217.42088945606088 89.07766249573346
n 371.37656875803503 383.9805751170927
n 370.26897382132614 218.9320314277723
n 371.37656875803503 30.825235311267445
n 522.00948015044 317.2330023015587
n 526.4398598972755 89.07766249573346
n 677.0727712896806 203.1553323986461
e 0 1 6/8
e 0 2 5/7
e 1 3 2/4
e 1 4 4/4
e 2 4 2/2
e 3 4 0/1
e 2 5 3/5
e 5 4 0/2
e 4 6 4/4
e 4 7 2/3
e 5 7 3/3
e 3 6 2/5
e 6 7 0/4
e 6 8 6/6
e 7 8 5/8
