% Graph saved at Tue Dec 10 2019 16:22:58 GMT+0100 (heure normale d’Europe centrale)
n 83.95568268208564 265.04853628214124
n 209.11391053018693 366.9902838549568
n 216.86707508714895 272.3300896801995
n 223.5126447074021 175.2427110394228
n 213.54429027702236 87.86407026272376
n 377.4683409099337 360.9223226899082
n 378.5759358466426 272.3300896801995
n 381.89872065676917 169.17474987437424
n 391.8670750871489 78.15533239864608
n 570.1898598972755 261.4077595831121
e 0 1 0/1/1
e 0 2 0/1/1
e 0 3 0/1/1
e 0 4 0/1/1
e 1 5 0/1/1
e 1 6 0/1/1
e 3 5 0/1/1
e 5 9 0/1/1
e 6 9 0/1/1
e 7 9 0/1/1
e 8 9 0/1/1
e 2 6 0/1/1
e 2 8 0/1/1
e 4 7 0/1/1
e 4 8 0/1/1
